name,free_returns,items_sold,price,shipping,status
New Nike CR7 Mercurial Soccer Ball Size 5,True,,4299,0,Brand New
VOIT Lummo Liga Bancomer MX Apertura 2017,True,0,3400,0,Brand New
BRAZUCA SOCCER BALL WORLD CUP 2014 BRAZIL FOOTBALL [SIZE 5] BY - Rampage Sports,True,60,6499,0,Brand New
English Premier League Soccer Balls Official Size 5 Great For Training Or Games,True,,3499,0,Brand New
New Adidas Brazuca Soccer Ball - FIFA World Cup Brazil 2014 Size 5 - Match Ball,True,0,5499,0,Brand New
Nike Park Team Training Soccer Ball Size 5 Yellow,True,,2699,0,Brand New
New ListingSelect Flag Spain Soccer Ball Size 5,True,,2400,901,Pre-Owned
Nike Park Team Soccer Ball,True,,2159,0,Brand New
New ListingFootball Ball,True,,1390,955,Brand New
2014 Adidas Brazuca World Cup Brazil FIFA Official Match Ball Soccer,True,,25000,1710,Brand New
Nike Catalyst Size #5 Official Match Soccer Ball FIFA 14/15 PSC416-161,True,,6500,0,Pre-Owned
"Adidas ""Tiro League Sala"" Futsal Ball Size 4 New With Tags ",True,0,2999,1125,Brand New
Baden 140 soccer Ball ,True,,1500,0,Brand New
Voit Liga MX Soccer Ball Apertura 2022 Machine Stitched Size 5,True,0,2999,0,Brand New
Nike CR7 Strike Soccer Ball Football Training White Black CU8557-100 Size 5,True,15,4581,990,Brand New
WORLD FLAGS LOGO OFFICIAL SIZE 5 SOCCER BALL - 182 [Misc.],True,0,1750,0,Brand New
Size 5 Ball Bladder,True,,1100,0,Brand New
Puma 083296-01 One Strap Mini Ball Mens Soccer Cleats     - Silver - Size MINI,True,108,999,0,Brand New
ADIDAS UEFA CHAMPIONS LEAGUE 2022-23 Official Match BALL Size 5,True,0,11900,0,Brand New
Uruguay Soccer Ball Country Supporter Size 2,True,,1199,0,Brand New
New ListingT90 Aerow l Nike Super Rare Football | Premier league Soccer Ball | OMB 2005/06,True,,17900,0,Brand New
Voit LOXUS FINAL OFFICIAL MATCH BALL LIGUILLA 2019-20 GOLD,True,,4400,0,Brand New
"New ListingHeavily Used  Nike ""Strike""  Size 5 Soccer Ball  (#2)",True,,500,1200,Pre-Owned
Adidas FIFA WORLD CUP Qatar 2022 AL RIHLA OFFICIAL MATCH BALL,True,0,12900,0,Brand New
Uber Soccer Urban Street Soccer Ball - Camo,True,91,2195,0,Brand New
UEFA NATIONS LEAGUE FOOTBALL SOCCER MATCH BALL SIZE 5 THERMAL BOUNDED,True,0,6500,0,Brand New
ADIDAS FIFA World Cup Official Game Ball Soccer Telstar 18 Russia Match ball OMB,True,,7900,0,Brand New
Nike Park Team Training Soccer Ball Size 5 Red 2022,True,,2699,0,Brand New
Nike Merlin USA 2019 Official Match Soccer Ball Size 5 CK4661-100 OMB,True,,8999,1020,Brand New
Nike Acdemy Team Ims Soccer Ball Size 5. CU8047-100,True,,3999,0,Brand New
Adidas Pro Team Official Match Ball FIFA Quality Size 5 Fifa Approved Ball,True,,4300,0,Brand New
Nike Park Team Training Soccer Ball Size 5 Green 2022,True,,2999,0,Brand New
Umbro Tristar Soccer Ball Size 5 Grey Black White Yellow Official Size & Weight,True,0,2000,1190,Brand New
2 Soccer Ball Lot,True,,1800,975,Brand New
Nike Premier League Strike Pro Soccer Ball - Size 5,True,,1800,1710,Pre-Owned
Mexico Official Soccer Ball size #5,True,,1900,0,Brand New
New Listing*RARE* One World Play Project *COCA COLA* Soccer Ball *WALMART* *COKE*,True,,7000,1000,Pre-Owned
Soccer Ball Black And White Size 5,True,,1195,0,Brand New
Voit official match Soccer Ball Nova Liga Bancomer MX Apertura 2018-19,True,,3300,0,Brand New
Voit official match Soccer Ball Nova Liga Bancomer MX Apertura 2018-19,True,,3300,0,Brand New
New ListingADIDAS BRAZUCA FIFA WORLD CUP BRAZIL 2014 OFFICIAL MATCH BALL,True,,9000,0,Brand New
New NCAA Soccer Ball- Size 5,True,,2499,0,Brand New
Adidas Champions League Final Authentic official Match Ball 2019-20 size 5,True,,7700,0,Brand New
Puma Italia Final 5 Hs Trainer  Ball Mens Soccer Cleats     - Blue,True,255,1799,0,Brand New
New ListingAuthentic Adidas Official Match Ball krasava Confederations Cup 2017 Russia,True,,30000,0,Brand New
New Nike Strike Soccer Ball Size - 5 / DC2376 - 100 white/bright crimson/black,True,,2999,600,Brand New
NIKE STRIKE  BRAZIL  SOCCER TRAINING  SOCCER BALL SIZE 5 WHITE BLACK YELLOW,True,0,3999,0,Brand New
BRAZUCA ADIDAS SOCCER PRACTICE BALL FIFA WORLD CUP 2014 BRAZIL SIZE 5,True,0,4895,0,Brand New
Jabulani | Adidas Official Match Ball FIFA World Cup 2010 | South Africa Size 5,True,,6500,0,Brand New
ADIDAS WORLD CUP QATAR 2022  TOP TRAINING  SOCCER BALLS ASSORTED COLORS SIZE 5 ,True,,2999,0,Brand New
adidas Messi Club BALL,True,,2500,955,Brand New
New Nike Premier League Strike Ball Size - 5 / DC2210 710,True,0,4999,499,Brand New
ADIDAS UEFA CHAMPIONS LEAGUE OFFICIAL MATCH BALL 2018-19 ,True,,8900,0,Brand New
FC Barcelona Official Licensed Soccer Ball Messi 10 Signature Ball size 5,True,,2450,0,Brand New
FC Barcelona Authentic Official Licensed Soccer Ball Size 4 - 06-5,True,,2050,0,Brand New
ADIDAS FINALE 21 20TH ANNIVERSARY UCL CLUB BALL - ORANGE & BLACK,True,,1800,0,Brand New
Wilson Soccer Ball COPIA II White/Blue Size 5,True,,1500,800,Brand New
AUTHENTIC Adidas Champions League St. Petersburg 2022 Final Official Match Ball,True,79,5999,0,Brand New
Official Size 5 USA Flag Soccer Ball Wholesale Lots,True,21,1295,0,Brand New
NIKE ASSORTED TRAINING SOCCER BALL SIZE 5 PELOTAS DE FUTBOL COLORES SURTIDOS,True,,2499,0,Brand New
UCL MINI ST. PETERSBURG BALL $14.99,True,,1499,499,Brand New
"SOCCER BALL-ADIDAS-SIZE-4-MLS CLUB BALL -ORANGE/PURPLE-NEW-IN BOX, New",True,,1290,1061,Brand New
ADIDAS AL RIHLA TRAINING CLUB SOCCER BALL SIZE 5 GREEN H57785 PELOTA DE FUTBOL  ,True,,3000,0,Brand New
Puma Orbita La Liga 1 MS Soccer Ball - White-Purple-Blue,True,0,2595,0,Brand New
Adidas mini soccer ball Size 1,True,,1800,610,Pre-Owned
Nike Academy Team Soccer Ball White/Blue Size - 5 CU8047 102,True,,3999,0,Brand New
ADIDAS AL RIHLA TRAINING CLUB SOCCER BALL SIZE 5 WHITE H57801 PELOTA DE FUTBOL,True,,3000,0,Brand New
Club America Authentic Official Licensed Soccer Ball Size 2 on sales,True,,999,0,Brand New
Soccer ball MARS PREMIER - Hight Competition - size 5  - ,True,0,3974,575,Brand New
BOCA JUNIORS Soccer Ball Official Licensed Product - Size 5 - Yellow Edition,True,,1950,499,Brand New
Icon Sports Mexico Soccer Ball Regulation Size 5 Soccer Ball 01-1,True,,2099,0,Brand New
adidas AL RIHLA LEAGUE BALL $45 H57782 (2022),True,,3149,999,Brand New
FIFA 2014 Brazil world cup black MINI soccer ball size 2 sz international futbol,True,,829,0,Brand New
Voit Liga Mexico Soccer Ball (Size 5) pro Match FIFA Quality Black-blue 2022,True,,5999,0,Brand New
Colligo Cascadia Elite Performance Soccer Ball Size 5,True,,2379,0,Brand New
Nike Flight 2022 FIFA Official Match Ball ACC Aerowsculpt Premier League Size 5,True,0,9999,0,Brand New
"Lightly Used  Wilson ""NCAA Veza NFHS""  Size 5 Soccer Ball",True,,4100,1200,Pre-Owned
NASL ADIDAS NORTH AMERICAN SOCCER LEAGUE OFFICIAL FUTBOL 1978 GAME BALL ⚽️SIZE 5,True,0,9900,0,Brand New
New Rare Neymar Nike Ordem 4 Football Soccer Ball SC3165-010 Brazil PSG,True,0,69999,3423,New (Other)
VKM SBC4 Soccer Ball World 32 AVS Size 4 NFHS Official Phylate Free New,True,,1895,0,Brand New
Franklin Sports Soccer Balls-Size 5 F-100 Competition Youth Or Adult Soccer Ball,True,0,1275,0,Brand New
